City,Country,Region,Category,Climate,Best_Month,Attractions,Cuisine_Name,Flavor_Profile,Hotel_Name,Star_Rating,Price_Per_Night,Amenities,Weather_Type,Average_Temperature,Budget_Range,Activities
Sydney,Australia,Oceania,city,Moderate,September,Sydney Landmark 1; Sydney Landmark 2; Harbour Bridge; Sydney Opera House; Bondi Beach,Meat Pie,Savory,Four Seasons,5,128,Gym; Pool; WiFi; Pet Friendly,Snowy,20.8,$1126–$2457,spirituality; skiing
Santorini,Greece,Europe,island,Moderate,May,Santorini Landmark 2; Red Beach; Fira; Oia; Santorini Landmark 1,Tomatokeftedes,Savory,Mystique,5,248,Restaurant; Gym; Spa; Pool; Bar; Parking; Beach Access,Sunny,23.9,$1364–$2976,adventure
Venice,Italy,Europe,heritage,Moderate,September,Venice Landmark 1; St. Mark's Square; Doge's Palace; Venice Landmark 2; Grand Canal,Sarde in Saor,Savory,Belmond Hotel Cipriani,4,254,Kids Club; Gym; Bar; Airport Shuttle; Spa,Humid,17.1,$838–$1828,historic tours; spirituality; food
Sydney,Australia,Oceania,city,Moderate,October,Harbour Bridge; Sydney Landmark 2; Sydney Landmark 1; Sydney Opera House; Bondi Beach,Meat Pie,Savory,Shangri-La Sydney,4,325,Gym; WiFi; Breakfast Included; Restaurant,Sunny,18.3,$3575–$7800,photography; water-sports
Bali,Indonesia,East Asia,island,Hot,June,Ubud Rice Terraces; Seminyak Beach; Uluwatu Temple; Bali Landmark 1; Bali Landmark 2,Nasi Goreng,Savory,Four Seasons Bali,4,90,Airport Shuttle; Pet Friendly; Beach Access; Bar; Breakfast Included; Gym,Humid,23.4,$990–$2160,nightlife; water-sports; wildlife; historic tours
Santorini,Greece,Europe,island,Moderate,Summer,Santorini Landmark 1; Fira; Santorini Landmark 2; Oia; Red Beach,Tomatokeftedes,Savory,Mystique,3,174,Beach Access; Conference Rooms; Airport Shuttle; Pool; Kids Club; Parking,Rainy,23.1,$1914–$4176,adventure; photography
Hawaii (Oahu),USA,North America,island,Hot,September,Haleakala; Hawaii (Oahu) Landmark 2; Waikiki Beach; Road to Hana; Hawaii (Oahu) Landmark 1,Poke,Savory,Halekulani,4,218,WiFi; Parking; Bar; Pool; Beach Access; Gym,Snowy,31.6,$2398–$5232,nightlife; hiking
Venice,Italy,Europe,heritage,Moderate,May,Doge's Palace; Grand Canal; St. Mark's Square; Venice Landmark 1; Venice Landmark 2,Sarde in Saor,Savory,Belmond Hotel Cipriani,3,247,Pet Friendly; Breakfast Included; Bar; Conference Rooms; Beach Access; Spa,Snowy,12.7,$1630–$3556,photography; water-sports
Varanasi,India,South Asia,spiritual,Moderate,October,Kashi Vishwanath; Dashashwamedh Ghat; Varanasi Landmark 1; Varanasi Landmark 2; Sarnath,Kachori Sabzi,Spicy,BrijRama Palace,3,81,Kids Club; Bar; Beach Access; Airport Shuttle; Parking; Pet Friendly; Restaurant,Rainy,26.7,$356–$777,water-sports; food
Leh-Ladakh,India,South Asia,mountain,Cold,Winter,Leh-Ladakh Landmark 1; Leh-Ladakh Landmark 2; Nubra Valley; Thiksey Monastery; Pangong Lake,Tibetan Thenthuk,Savory,Ladakh Sarai,3,81,WiFi; Breakfast Included; Conference Rooms,Snowy,-0.1,$712–$1555,adventure; wildlife; food; shopping
Sydney,Australia,Oceania,city,Moderate,Monsoon,Harbour Bridge; Sydney Landmark 1; Sydney Opera House; Bondi Beach; Sydney Landmark 2,Meat Pie,Savory,Shangri-La Sydney,5,209,Beach Access; Pet Friendly; Kids Club; Airport Shuttle,Rainy,15.9,$1609–$3511,wildlife
Amsterdam,Netherlands,Europe,city,Moderate,June,Amsterdam Landmark 1; Canals; Rijksmuseum; Amsterdam Landmark 2; Van Gogh Museum,Stroopwafel,Sweet,Ambassade Hotel,4,128,Parking; Airport Shuttle; Beach Access,Sunny,4.6,$985–$2150,historic tours; water-sports; nightlife
Rishikesh,India,South Asia,spiritual,Moderate,February,Rishikesh Landmark 1; Laxman Jhula; Rishikesh Landmark 2; Triveni Ghat; Beatles Ashram,Aloo Puri,Savory,Aloha on the Ganges,5,86,WiFi; Spa; Beach Access; Restaurant; Bar,Snowy,20.3,$378–$825,spirituality; hiking; historic tours
Oslo,Norway,Other,city,Cold,Spring,Vigeland Park; Oslo Opera House; Akershus Fortress; Oslo Landmark 2; Oslo Landmark 1,Fårikål,Savory,Hotel Continental,4,217,Airport Shuttle; Kids Club; Beach Access; Spa; Bar; Restaurant,Humid,31.5,$716–$1562,water-sports; spirituality
Kathmandu,Nepal,South Asia,heritage,Moderate,November,Boudhanath Stupa; Kathmandu Landmark 1; Kathmandu Landmark 2; Pashupatinath; Basantapur Durbar Square,Momo,Savory,Hyatt Regency,5,101,Pool; Airport Shuttle; Gym; Parking; WiFi; Beach Access; Spa,Sunny,23.7,$888–$1939,historic tours; culture; food
Marrakech,Morocco,Africa,heritage,Hot,Autumn,Marrakech Landmark 1; Bahia Palace; Majorelle Garden; Marrakech Landmark 2; Jemaa el-Fnaa,Tagine,Savory,Royal Mansour,4,146,Bar; Spa; Pool; Gym; Airport Shuttle; Parking,Windy,24.0,$642–$1401,shopping; culture; wildlife; hiking
Barcelona,Spain,Europe,city,Moderate,September,Park Güell; La Rambla; Barcelona Landmark 1; Barcelona Landmark 2; Sagrada Familia,Paella,Savory,Hotel Arts,4,158,Beach Access; Restaurant; Parking; Conference Rooms; Kids Club; Pet Friendly; Airport Shuttle,Sunny,25.1,$1216–$2654,relaxation; shopping; culture; historic tours
Venice,Italy,Europe,heritage,Moderate,Monsoon,Doge's Palace; Venice Landmark 2; Venice Landmark 1; Grand Canal; St. Mark's Square,Sarde in Saor,Savory,Gritti Palace,5,161,Beach Access; Pet Friendly; Parking,Humid,20.2,$1239–$2704,relaxation; food; photography
Bali,Indonesia,East Asia,island,Hot,September,Bali Landmark 1; Seminyak Beach; Uluwatu Temple; Ubud Rice Terraces; Bali Landmark 2,Nasi Goreng,Savory,Four Seasons Bali,4,158,Restaurant; Breakfast Included; Bar; Parking; Conference Rooms,Sunny,22.2,$1390–$3033,photography; wildlife; relaxation
Phuket,Thailand,Southeast Asia,beach,Hot,December,Phuket Landmark 1; Big Buddha; Patong Beach; Phuket Landmark 2; Phi Phi Islands,Tom Yum Goong,Spicy,Anantara Mai Khao,4,191,Pool; Pet Friendly; Spa; Breakfast Included; Conference Rooms,Sunny,25.1,$2101–$4584,photography; wildlife; adventure
Varanasi,India,South Asia,spiritual,Moderate,Spring,Varanasi Landmark 2; Varanasi Landmark 1; Dashashwamedh Ghat; Sarnath; Kashi Vishwanath,Kachori Sabzi,Spicy,BrijRama Palace,5,97,Restaurant; WiFi; Airport Shuttle; Bar; Kids Club; Pool; Breakfast Included,Windy,29.3,$426–$931,shopping
Varanasi,India,South Asia,spiritual,Moderate,Monsoon,Dashashwamedh Ghat; Kashi Vishwanath; Varanasi Landmark 2; Varanasi Landmark 1; Sarnath,Kachori Sabzi,Spicy,Ramada Plaza,3,106,Gym; Pet Friendly; Airport Shuttle; Breakfast Included; Bar,Sunny,21.3,$816–$1780,historic tours; wildlife; photography; food
Lisbon,Portugal,South America,city,Moderate,September,Jerónimos Monastery; Alfama; Lisbon Landmark 2; Lisbon Landmark 1; Belém Tower,Pastel de Nata,Sweet,Four Seasons Lisbon,5,198,Pet Friendly; Parking; Conference Rooms; Breakfast Included; Spa; Gym; Bar,Rainy,18.5,$653–$1425,water-sports; nightlife; photography; spirituality
Tokyo,Japan,East Asia,city,Moderate,Summer,Tokyo Tower; Sensoji Temple; Shibuya Crossing; Tokyo Landmark 2; Tokyo Landmark 1,Sushi,Savory,The Peninsula,3,204,Beach Access; Pool; Bar; Airport Shuttle,Rainy,20.6,$1122–$2448,hiking; food; shopping; nightlife
Istanbul,Turkey,North America,heritage,Moderate,April,Istanbul Landmark 1; Grand Bazaar; Topkapi Palace; Hagia Sophia; Istanbul Landmark 2,Kebab,Savory,Swissotel,4,168,WiFi; Bar; Kids Club; Restaurant; Conference Rooms; Airport Shuttle,Moderate,17.3,$554–$1209,historic tours; spirituality
Agra,India,South Asia,heritage,Hot,November,Taj Mahal; Mehtab Bagh; Agra Fort; Agra Landmark 1; Agra Landmark 2,Petha,Sweet,Trident Agra,3,185,Airport Shuttle; Breakfast Included; Restaurant; Kids Club; Gym; Pet Friendly; Beach Access,Sunny,36.8,$1831–$3996,food; relaxation
New York,USA,North America,city,Moderate,Winter,Times Square; New York Landmark 2; New York Landmark 1; Statue of Liberty; Central Park,New York Pizza,Savory,Four Seasons New York,5,349,Gym; Kids Club; Bar; Pet Friendly; Breakfast Included; Airport Shuttle,Windy,13.0,$2687–$5863,relaxation; culture
Shimla,India,South Asia,mountain,Cold,January,Christ Church; Shimla Landmark 1; Shimla Landmark 2; Jakhoo Temple; Mall Road,Channa Madra,Savory,Hotel Willow Banks Shimla,5,57,Beach Access; Conference Rooms; Kids Club; WiFi; Restaurant; Pool; Breakfast Included,Windy,33.2,$438–$957,food; skiing; photography; relaxation
Kathmandu,Nepal,South Asia,heritage,Moderate,March,Pashupatinath; Kathmandu Landmark 1; Boudhanath Stupa; Basantapur Durbar Square; Kathmandu Landmark 2,Momo,Savory,Hotel Yak & Yeti,4,106,Parking; Breakfast Included; WiFi; Restaurant; Spa,Windy,18.2,$349–$763,shopping; wildlife
Cusco,Peru,South America,heritage,Cold,June,Sacsayhuamán; Plaza de Armas; Cusco Landmark 1; Cusco Landmark 2; Machu Picchu,Cuy,Savory,JW Marriott,4,186,WiFi; Breakfast Included; Gym; Pet Friendly; Beach Access,Windy,4.0,$818–$1785,historic tours; skiing
Toronto,Canada,North America,city,Moderate,September,CN Tower; Toronto Landmark 2; Royal Ontario Museum; Toronto Landmark 1; Toronto Islands,Peameal Bacon Sandwich,Savory,Shangri-La,4,118,Pet Friendly; Beach Access; Spa; Conference Rooms,Sunny,9.7,$1168–$2548,shopping; spirituality
Venice,Italy,Europe,heritage,Moderate,Monsoon,Grand Canal; Venice Landmark 2; Venice Landmark 1; St. Mark's Square; Doge's Palace,Sarde in Saor,Savory,Aman Venice,4,228,Spa; WiFi; Kids Club,Windy,10.0,$1504–$3283,hiking; water-sports
Cape Town,South Africa,Africa,city,Moderate,Winter,Cape Town Landmark 2; Cape Town Landmark 1; V&A Waterfront; Robben Island; Table Mountain,Bobotie,Savory,The Silo Hotel,4,214,Pool; Breakfast Included; Parking; Kids Club; Bar; WiFi; Pet Friendly,Rainy,14.5,$1412–$3081,hiking; skiing
Lima,Peru,Europe,city,Moderate,February,Lima Landmark 1; Historic Centre; Parque Kennedy; Lima Landmark 2; Miraflores,Ceviche,Savory,JW Marriott,3,135,Bar; Breakfast Included; Beach Access,Sunny,12.1,$1336–$2916,relaxation; adventure; shopping
Nairobi,Kenya,Oceania,safari,Hot,August,Nairobi Landmark 1; Karen Blixen Museum; Giraffe Centre; Nairobi Landmark 2; Nairobi National Park,Nyama Choma,Savory,Sankara Nairobi,4,240,Bar; Breakfast Included; Parking; Restaurant; Spa,Snowy,21.0,$792–$1728,skiing
Coorg,India,Europe,forest,Moderate,Spring,Dubare Elephant Camp; Coorg Landmark 1; Raja's Seat; Abbey Falls; Coorg Landmark 2,Pandi Curry,Savory,Coorg Hills Retreat,3,111,Airport Shuttle; Bar; Breakfast Included; Conference Rooms,Rainy,16.9,$1098–$2397,hiking
Mexico City,Mexico,South America,city,Moderate,Autumn,Mexico City Landmark 2; Mexico City Landmark 1; Zocalo; Frida Kahlo Museum; Chapultepec Park,Tacos al Pastor,Spicy,St. Regis Mexico City,4,195,Kids Club; Conference Rooms; Beach Access; Restaurant; Parking; WiFi,Rainy,15.3,$643–$1404,culture
Kyoto,Japan,Southeast Asia,heritage,Moderate,April,Kinkaku-ji; Fushimi Inari; Kyoto Landmark 1; Gion District; Kyoto Landmark 2,Kaiseki,Savory,Hoshinoya Kyoto,4,137,Pool; Conference Rooms; Airport Shuttle; WiFi; Breakfast Included,Snowy,13.8,$1507–$3288,water-sports
Santorini,Greece,Europe,island,Moderate,Monsoon,Santorini Landmark 2; Fira; Santorini Landmark 1; Red Beach; Oia,Tomatokeftedes,Savory,Canaves Oia,3,156,Airport Shuttle; Pet Friendly; Restaurant,Snowy,29.0,$1544–$3369,nightlife; hiking; wildlife
Paris,France,Europe,city,Moderate,Winter,Notre-Dame; Paris Landmark 2; Louvre Museum; Eiffel Tower; Paris Landmark 1,Croissant,Sweet,Le Meurice,5,263,Kids Club; Gym; Spa,Snowy,9.4,$2893–$6312,hiking; water-sports; photography; adventure
Pondicherry,India,South Asia,beach,Moderate,January,French Quarter; Pondicherry Landmark 2; Promenade Beach; Auroville; Pondicherry Landmark 1,Seafood Thali,Savory,Le Pondy,5,90,Restaurant; WiFi; Pool,Windy,20.3,$297–$648,photography; culture; historic tours
Los Angeles,USA,North America,city,Hot,May,Los Angeles Landmark 2; Hollywood; Griffith Observatory; Santa Monica Pier; Los Angeles Landmark 1,In-N-Out Burger,Savory,The Ritz-Carlton,3,188,WiFi; Beach Access; Gym,Windy,26.6,$1447–$3158,nightlife; adventure; food; photography
Los Angeles,USA,North America,city,Hot,Monsoon,Santa Monica Pier; Los Angeles Landmark 2; Los Angeles Landmark 1; Griffith Observatory; Hollywood,In-N-Out Burger,Savory,The Ritz-Carlton,3,228,Restaurant; Breakfast Included; Beach Access; Gym; Pet Friendly; Pool,Snowy,21.1,$1003–$2188,spirituality; relaxation; nightlife
Queenstown,New Zealand,Oceania,mountain,Cold,August,Queenstown Landmark 1; Lake Wakatipu; Bungy Jumping; Milford Sound; Queenstown Landmark 2,Lamb Roast,Savory,Matakauri Lodge,4,128,Gym; Beach Access; Restaurant; Kids Club; Pool; Spa; Parking,Humid,11.5,$704–$1536,photography; food
Mexico City,Mexico,South America,city,Moderate,Autumn,Zocalo; Frida Kahlo Museum; Mexico City Landmark 1; Chapultepec Park; Mexico City Landmark 2,Tacos al Pastor,Spicy,Four Seasons Mexico City,4,224,Pet Friendly; Spa; Restaurant; Bar; WiFi; Beach Access,Sunny,23.7,$2217–$4838,skiing; spirituality; wildlife
Paris,France,Europe,city,Moderate,April,Paris Landmark 1; Notre-Dame; Louvre Museum; Eiffel Tower; Paris Landmark 2,Croissant,Sweet,Ritz Paris,5,448,Beach Access; Spa; WiFi; Pet Friendly,Windy,16.5,$3449–$7526,skiing
Bali,Indonesia,East Asia,island,Hot,September,Bali Landmark 2; Ubud Rice Terraces; Seminyak Beach; Bali Landmark 1; Uluwatu Temple,Nasi Goreng,Savory,The Legian,3,195,Beach Access; Restaurant; Gym; Breakfast Included,Rainy,29.1,$1716–$3744,photography; hiking
Sydney,Australia,Oceania,city,Moderate,October,Sydney Landmark 2; Bondi Beach; Sydney Landmark 1; Harbour Bridge; Sydney Opera House,Meat Pie,Savory,Park Hyatt Sydney,4,147,Kids Club; Spa; Airport Shuttle; Conference Rooms; Pet Friendly; Pool; Restaurant,Sunny,16.9,$970–$2116,shopping; culture; adventure; relaxation
Hawaii (Oahu),USA,North America,island,Hot,Monsoon,Road to Hana; Hawaii (Oahu) Landmark 2; Waikiki Beach; Haleakala; Hawaii (Oahu) Landmark 1,Poke,Savory,Four Seasons Hualalai,4,383,Airport Shuttle; Spa; Bar; Breakfast Included,Sunny,22.0,$3791–$8272,food
Fiji,Fiji,South Asia,island,Hot,May,Mamanuca Islands; Coral Coast; Fiji Landmark 1; Fiji Landmark 2; Garden of the Sleeping Giant,Kokoda,Savory,InterContinental Fiji,3,141,Conference Rooms; Pool; Parking; WiFi; Gym; Breakfast Included,Rainy,32.3,$930–$2030,skiing
London,United Kingdom,Europe,city,Moderate,May,Buckingham Palace; Tower of London; London Landmark 1; British Museum; London Landmark 2,Fish and Chips,Savory,Claridge's,4,467,Pet Friendly; Parking; Spa,Windy,18.6,$1541–$3362,hiking
Zurich,Switzerland,Europe,city,Cold,December,Lake Zurich; Old Town; Zurich Landmark 2; Uetliberg; Zurich Landmark 1,Fondue,Savory,The Dolder Grand,5,430,Pet Friendly; WiFi; Bar; Kids Club; Gym; Beach Access,Humid,5.7,$2365–$5160,relaxation; culture; nightlife; water-sports
Singapore,Singapore,Southeast Asia,city,Hot,July,Gardens by the Bay; Singapore Landmark 1; Sentosa; Singapore Landmark 2; Marina Bay Sands,Chilli Crab,Spicy,Marina Bay Sands,4,278,Restaurant; Bar; Parking,Humid,35.1,$2140–$4670,food; spirituality
Varanasi,India,South Asia,spiritual,Moderate,November,Dashashwamedh Ghat; Varanasi Landmark 1; Varanasi Landmark 2; Kashi Vishwanath; Sarnath,Kachori Sabzi,Spicy,BrijRama Palace,5,68,Bar; Beach Access; Breakfast Included; Parking; Restaurant,Rainy,18.3,$598–$1305,hiking; adventure
Melbourne,Australia,Oceania,city,Moderate,March,Great Ocean Road; Royal Botanic Gardens; Federation Square; Melbourne Landmark 1; Melbourne Landmark 2,Flat White,Savory,Crown Towers,5,210,Airport Shuttle; Gym; Spa; Kids Club; Restaurant,Rainy,14.4,$1617–$3528,adventure; hiking; relaxation
Leh-Ladakh,India,South Asia,mountain,Cold,Autumn,Thiksey Monastery; Nubra Valley; Leh-Ladakh Landmark 1; Leh-Ladakh Landmark 2; Pangong Lake,Tibetan Thenthuk,Savory,Ladakh Sarai,4,186,Bar; Gym; Beach Access; Kids Club; Breakfast Included; Airport Shuttle; Parking,Snowy,0.7,$1227–$2678,historic tours; spirituality; food
Barcelona,Spain,Europe,city,Moderate,Monsoon,Park Güell; Barcelona Landmark 2; Sagrada Familia; La Rambla; Barcelona Landmark 1,Paella,Savory,W Barcelona,4,118,Gym; Kids Club; Conference Rooms; Bar; Beach Access; Airport Shuttle; Restaurant,Sunny,27.6,$649–$1416,spirituality
Zurich,Switzerland,Europe,city,Cold,January,Lake Zurich; Uetliberg; Old Town; Zurich Landmark 1; Zurich Landmark 2,Fondue,Savory,Park Hyatt Zurich,3,357,Beach Access; Restaurant; Gym; Bar; Pet Friendly; Pool; Airport Shuttle,Humid,4.7,$2748–$5997,historic tours; shopping
Amsterdam,Netherlands,Europe,city,Moderate,May,Amsterdam Landmark 2; Van Gogh Museum; Rijksmuseum; Canals; Amsterdam Landmark 1,Stroopwafel,Sweet,Ambassade Hotel,5,222,Spa; Kids Club; Conference Rooms,Rainy,9.4,$1953–$4262,water-sports; hiking; nightlife; food
Barcelona,Spain,Europe,city,Moderate,September,Barcelona Landmark 2; La Rambla; Barcelona Landmark 1; Sagrada Familia; Park Güell,Paella,Savory,Casa Fuster,3,145,Restaurant; Kids Club; Bar; Spa; Pool; Airport Shuttle,Windy,29.9,$1435–$3132,nightlife; hiking; relaxation; food
Kolkata,India,South Asia,city,Moderate,Monsoon,Dakshineswar; Victoria Memorial; Kolkata Landmark 1; Howrah Bridge; Kolkata Landmark 2,Macher Jhol,Savory,The Oberoi Grand,4,123,Restaurant; Beach Access; Parking; Kids Club; Breakfast Included,Rainy,25.0,$1353–$2952,shopping; historic tours; food
Kuala Lumpur,Malaysia,Europe,city,Hot,February,Bukit Bintang; Batu Caves; Kuala Lumpur Landmark 1; Petronas Towers; Kuala Lumpur Landmark 2,Nasi Lemak,Savory,Traders Hotel,4,173,Pool; Gym; Breakfast Included; Spa; Pet Friendly; Parking; Restaurant,Sunny,32.7,$1332–$2906,nightlife
Bali,Indonesia,East Asia,island,Hot,May,Ubud Rice Terraces; Bali Landmark 2; Bali Landmark 1; Seminyak Beach; Uluwatu Temple,Nasi Goreng,Savory,Four Seasons Bali,4,93,Beach Access; Airport Shuttle; Pet Friendly,Snowy,24.3,$1023–$2232,nightlife; water-sports; culture
Ho Chi Minh City,Vietnam,Southeast Asia,city,Hot,February,Ben Thanh Market; War Remnants Museum; Ho Chi Minh City Landmark 1; Ho Chi Minh City Landmark 2; Cu Chi Tunnels,Banh Mi,Savory,The Myst Dong Khoi,4,121,Beach Access; Gym; Pet Friendly; Conference Rooms; Spa; Kids Club; Pool,Snowy,31.1,$931–$2032,historic tours; adventure
Kathmandu,Nepal,South Asia,heritage,Moderate,Autumn,Boudhanath Stupa; Kathmandu Landmark 1; Pashupatinath; Kathmandu Landmark 2; Basantapur Durbar Square,Momo,Savory,Hyatt Regency,4,61,Spa; Kids Club; Gym; WiFi,Snowy,17.3,$671–$1464,food; culture; shopping; skiing
Manali,India,South Asia,mountain,Cold,Winter,Manali Landmark 1; Manali Landmark 2; Hadimba Temple; Rohtang Pass; Solang Valley,Trout Fish,Savory,Span Resort,4,80,Bar; Restaurant; Conference Rooms,Windy,8.6,$528–$1152,skiing; spirituality; nightlife
Barcelona,Spain,Europe,city,Moderate,May,Sagrada Familia; Barcelona Landmark 1; Park Güell; La Rambla; Barcelona Landmark 2,Paella,Savory,Casa Fuster,5,313,Bar; Kids Club; Conference Rooms; WiFi,Windy,18.3,$2754–$6009,photography; spirituality; relaxation
Hanoi,Vietnam,Southeast Asia,city,Moderate,February,Old Quarter; Temple of Literature; Hoan Kiem Lake; Hanoi Landmark 1; Hanoi Landmark 2,Pho,Savory,Hanoi La Siesta,4,48,Pet Friendly; Breakfast Included; Spa; WiFi; Gym,Windy,19.4,$264–$576,culture; shopping; food; hiking
Phuket,Thailand,Southeast Asia,beach,Hot,Autumn,Big Buddha; Phuket Landmark 1; Phuket Landmark 2; Patong Beach; Phi Phi Islands,Tom Yum Goong,Spicy,Anantara Mai Khao,4,157,Pet Friendly; Restaurant; Bar; Pool; Airport Shuttle; Conference Rooms; Beach Access,Snowy,27.8,$1208–$2637,food; shopping
Kuala Lumpur,Malaysia,Europe,city,Hot,June,Kuala Lumpur Landmark 1; Bukit Bintang; Batu Caves; Kuala Lumpur Landmark 2; Petronas Towers,Nasi Lemak,Savory,Traders Hotel,3,135,Conference Rooms; Breakfast Included; Pool; Spa; Parking; Gym,Rainy,33.3,$445–$972,nightlife
Kolkata,India,South Asia,city,Moderate,February,Victoria Memorial; Kolkata Landmark 2; Dakshineswar; Howrah Bridge; Kolkata Landmark 1,Macher Jhol,Savory,The Lalit Great Eastern,5,98,Breakfast Included; Beach Access; Parking,Sunny,28.7,$646–$1411,relaxation
Miami,USA,Oceania/Americas,beach,Hot,Autumn,South Beach; Miami Landmark 2; Everglades; Art Deco District; Miami Landmark 1,Cuban Sandwich,Savory,Mandarin Oriental,5,123,Pet Friendly; Breakfast Included; Kids Club; Pool; Airport Shuttle; WiFi; Gym,Sunny,32.3,$1353–$2952,culture; adventure; wildlife; water-sports
Barcelona,Spain,Europe,city,Moderate,September,Barcelona Landmark 2; Sagrada Familia; La Rambla; Barcelona Landmark 1; Park Güell,Paella,Savory,Hotel Arts,4,307,Breakfast Included; Gym; Parking; Beach Access,Snowy,29.8,$2363–$5157,spirituality
Pondicherry,India,South Asia,beach,Moderate,Autumn,Auroville; Pondicherry Landmark 2; Pondicherry Landmark 1; French Quarter; Promenade Beach,Seafood Thali,Savory,Baylight,4,52,Gym; Bar; Pet Friendly; Beach Access; Kids Club,Rainy,29.3,$286–$624,relaxation; water-sports; food; hiking
Udaipur,India,South Asia,heritage,Moderate,October,Udaipur Landmark 2; Jagdish Temple; City Palace Udaipur; Udaipur Landmark 1; Lake Pichola,Laal Maas,Spicy,Taj Lake Palace,4,99,Pool; Pet Friendly; Kids Club; Restaurant,Humid,30.3,$1089–$2376,historic tours; skiing; food
Cape Town,South Africa,Africa,city,Moderate,Monsoon,Cape Town Landmark 2; Cape Town Landmark 1; Robben Island; Table Mountain; V&A Waterfront,Bobotie,Savory,One&Only Cape Town,4,232,WiFi; Gym; Restaurant; Conference Rooms; Airport Shuttle,Sunny,17.2,$765–$1670,food; culture; photography
Bengaluru,India,South Asia,city,Moderate,April,Bengaluru Landmark 2; Bengaluru Landmark 1; Cubbon Park; Lalbagh Botanical Garden; Bengaluru Palace,Idli,Savory,The Leela Palace,4,151,Airport Shuttle; Breakfast Included; Restaurant; Parking; Pet Friendly; Bar,Sunny,25.1,$830–$1812,wildlife; relaxation; culture; water-sports
Ahmedabad,India,South Asia,heritage,Hot,Summer,Adalaj Stepwell; Ahmedabad Landmark 2; Ahmedabad Landmark 1; Akshardham Temple; Sabarmati Ashram,Dhokla,Savory,Fortune Landmark,4,69,WiFi; Parking; Restaurant; Bar; Conference Rooms,Hot,32.8,$531–$1159,culture; water-sports; shopping
Venice,Italy,Europe,heritage,Moderate,Autumn,Doge's Palace; Venice Landmark 1; Venice Landmark 2; St. Mark's Square; Grand Canal,Sarde in Saor,Savory,Gritti Palace,3,265,Pool; Airport Shuttle; WiFi; Spa,Snowy,16.4,$2623–$5724,culture; adventure; historic tours
Rio de Janeiro,Brazil,Africa,beach,Hot,June,Sugarloaf Mountain; Rio de Janeiro Landmark 2; Copacabana; Christ the Redeemer; Rio de Janeiro Landmark 1,Feijoada,Savory,Emiliano,3,115,Pool; Conference Rooms; Gym; Parking; Pet Friendly; Bar; Airport Shuttle,Snowy,20.1,$1138–$2484,shopping
Lisbon,Portugal,South America,city,Moderate,September,Lisbon Landmark 2; Belém Tower; Jerónimos Monastery; Lisbon Landmark 1; Alfama,Pastel de Nata,Sweet,Four Seasons Lisbon,5,170,Parking; Pet Friendly; Bar; Breakfast Included; Beach Access; Gym; Airport Shuttle,Windy,24.8,$935–$2040,photography
Sydney,Australia,Oceania,city,Moderate,November,Harbour Bridge; Sydney Landmark 2; Bondi Beach; Sydney Landmark 1; Sydney Opera House,Meat Pie,Savory,Four Seasons,5,373,Kids Club; WiFi; Spa; Breakfast Included,Snowy,24.4,$1230–$2685,water-sports; photography
Kyoto,Japan,Southeast Asia,heritage,Moderate,Autumn,Kinkaku-ji; Fushimi Inari; Kyoto Landmark 1; Kyoto Landmark 2; Gion District,Kaiseki,Savory,Hoshinoya Kyoto,4,241,Pet Friendly; Pool; Bar; Beach Access; Kids Club,Sunny,13.8,$1590–$3470,photography; water-sports
Mexico City,Mexico,South America,city,Moderate,Summer,Frida Kahlo Museum; Mexico City Landmark 1; Chapultepec Park; Zocalo; Mexico City Landmark 2,Tacos al Pastor,Spicy,Camino Real,3,121,WiFi; Bar; Airport Shuttle; Spa; Parking,Humid,24.1,$1064–$2323,historic tours
Zurich,Switzerland,Europe,city,Cold,February,Old Town; Uetliberg; Lake Zurich; Zurich Landmark 2; Zurich Landmark 1,Fondue,Savory,The Dolder Grand,4,268,Kids Club; Airport Shuttle; Parking; Spa; Restaurant; Pool; Bar,Snowy,12.3,$1179–$2572,food; culture; hiking
Paris,France,Europe,city,Moderate,May,Notre-Dame; Paris Landmark 1; Louvre Museum; Eiffel Tower; Paris Landmark 2,Croissant,Sweet,Hotel Lutetia,4,400,WiFi; Breakfast Included; Pool; Airport Shuttle; Spa; Conference Rooms,Snowy,11.6,$3520–$7680,photography
Zurich,Switzerland,Europe,city,Cold,January,Old Town; Uetliberg; Zurich Landmark 1; Lake Zurich; Zurich Landmark 2,Fondue,Savory,Baur au Lac,5,354,Parking; Conference Rooms; Beach Access,Snowy,10.5,$3115–$6796,relaxation; shopping
Ho Chi Minh City,Vietnam,Southeast Asia,city,Hot,January,Cu Chi Tunnels; Ho Chi Minh City Landmark 1; Ben Thanh Market; War Remnants Museum; Ho Chi Minh City Landmark 2,Banh Mi,Savory,The Myst Dong Khoi,4,104,Restaurant; Gym; Spa; Bar; Pool; Pet Friendly; Parking,Humid,30.3,$800–$1747,culture
Amsterdam,Netherlands,Europe,city,Moderate,Monsoon,Canals; Rijksmuseum; Amsterdam Landmark 2; Amsterdam Landmark 1; Van Gogh Museum,Stroopwafel,Sweet,Ambassade Hotel,4,203,Conference Rooms; Bar; Breakfast Included; Pool; Gym; Spa; Beach Access,Windy,4.7,$2009–$4384,spirituality; relaxation; shopping; historic tours
